,DEVELOPER,PUBLISHER,BASE PRICE,Action,Adventure,Casual,Early Access,Free to Play,Indie,Massively Multiplayer,Movie,RPG,Racing,Simulation,Sports,Strategy,LAN Co-op,Online Co-op,Online PvP,Shared/Split Screen Co-op,Shared/Split Screen PvP,Single-player
431,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
432,Contingent99,"Contingent99,Humble Games",29.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0
433,Shiro Games,Shiro Unlimited,29.99,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1
434,Leef 6010,Leef 6010,12.99,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0
435,Rebound CG,Rebound CG,1.99,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1
436,Flippfly LLC,Flippfly LLC,0.0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0
437,Glowstick Entertainment,Glowstick Entertainment,0.0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0
438,Kiddy,Kiddy,29.99,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
439,Holyday Studios,Holyday Studios,9.99,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0
440,Fika Productions,Team17,4.99,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1
441,Fiddlesticks Games,Curve Games,24.99,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1
442,id Software,Bethesda Softworks,4.99,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0
443,"Alexey Davydov,Sergey Dvoynikov,Timofey Shargorodskiy","Flazm,META Publishing",0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
444,Rebellion,Rebellion,6.99,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
445,inXile Entertainment,inXile Entertainment,0.0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0
446,Volens Nolens Games,Volens Nolens Games,7.99,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1
447,BlackFoot Studios,MicroProse Software,1.99,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1
448,Doom Turtle,Twin Sails Interactive,0.0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0
449,Games Farm,Kalypso Media Digital,0.0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
450,Santa Monica Studio,PlayStation PC LLC,0.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0
451,KONAMI,KONAMI,0.0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0
452,Ubisoft Montréal,Ubisoft,9.99,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1
453,"Asobimo, Inc.",Bandai Namco Entertainment,14.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1
454,Ubisoft  Shanghaï,Ubisoft,14.99,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
455,Noio,Raw Fury,39.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0
456,Mossmouth,Mossmouth,29.99,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1
457,ARTDINK,Bandai Namco Entertainment,0.0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1
458,Midhard Games,101XP,0.0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0
459,"Insomniac Games,Nixxes Software",PlayStation PC LLC,0.0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0
460,ICSTOR,ICSTOR,16.99,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1
461,CodeForce,Slitherine Ltd.,3.99,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
462,Melancholia Studio,Thermite Games,0.0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1
463,Magnum Scriptum,HypeTrain Digital,0.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
464,Madruga Works,Madruga Works,14.99,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0
465,CREATIVE ASSEMBLY,SEGA,49.99,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1
466,Bossa Studios,tinyBuild,14.99,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0
467,"Wise Wizard Games, LLC","Wise Wizard Games, LLC",0.0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1
468,11 bit studios,11 bit studios,29.99,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1
469,Two Point Studios,SEGA,39.99,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0
470,"Jackbox Games, Inc.","Jackbox Games, Inc.",0.0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
471,KHB-Soft,KHB-Soft,3.99,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
472,Agiriko,Agiriko,59.99,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0
473,"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.",59.99,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0
474,Sumo Digital,Gun Interactive,0.0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0
475,Rebellion,Rebellion,14.99,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1
476,Hutlihut Games,Focus Entertainment,12.99,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1
477,ToastieLabs,ToastieLabs,0.0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1
478,"Free Games Info,hyperboreanGames",Back To Basics Gaming,0.99,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1
479,Daybreak Game Company,Daybreak Game Company,14.99,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0
480,NEKO WORKs,Sekai Project,29.99,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1
481,Anvil Game Studios,Anvil Game Studios,69.99,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0
482,"Codemasters,Feral Interactive (Mac),Feral Interactive (Linux)","Codemasters,Feral Interactive (Mac),Feral Interactive (Linux),Electronic Arts",9.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0
483,"Ludosity,Fair Play Labs",GameMill Entertainment,14.99,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1
484,TeamNova,TeamNova,4.99,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0
485,Warpzone Studios,Team17 Digital,6.99,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
486,Gears for Breakfast,Gears for Breakfast,29.99,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1
487,Idea Factory,Ghostlight LTD,0.0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1
488,Temple Gates Games,Temple Gates Games,19.99,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1
489,Subworld,Subworld,0.0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1
490,Coach Apps,Coach Apps,14.99,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
491,Neverjam,tinyBuild,17.99,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
492,Retro Army Limited,paulstephendavis,14.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1
493,Criterion Games,Electronic Arts,29.99,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1
494,stillalive studios,astragon Entertainment,14.99,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1
495,Gameloft,Gameloft,14.99,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1
496,Studio MDHR Entertainment Inc.,Studio MDHR Entertainment Inc.,21.99,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1
497,Triangle Studios,Curve Games,19.99,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1
498,CakeEaterGames,CakeEaterGames,15.99,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1
499,Scott Cawthon,Scott Cawthon,11.99,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1
500,Stardock Entertainment,Stardock Entertainment,44.99,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0
501,David OReilly,David OReilly,17.99,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0
502,Gaijin Entertainment,Gaijin Network Ltd,11.99,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1
503,Ryu Ga Gotoku Studio,SEGA,9.99,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
504,Ryu Ga Gotoku Studio,SEGA,0.0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1
505,Novarama,Novarama,19.99,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0
506,Gruby Entertainment,SuperGG.com,0.0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1
507,SoulGame Studio,Armor Games Studios,1.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
508,Envision Entertainment,Envision Entertainment,29.99,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1
509,Fusion Creators Studio,"Fusion Creators Studio,Mixarar",0.0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
510,Red Brix Wall,MY.GAMES,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
511,Matt Dabrowski,tinyBuild,59.99,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1
512,Silver Dollar Games,Silver Dollar Games,34.99,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0
513,11 bit studios,11 bit studios,0.99,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0
514,Wonder People,Wonder Games,0.0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1
515,Shiro Games,Shiro Unlimited,9.99,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1
516,"Podval Games,KremlinDev",GOSZAKAZ,29.99,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
517,Bethesda Game Studios,Bethesda Softworks,14.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1
518,Codemasters,"Codemasters,Electronic Arts",17.99,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0
519,"Artix Entertainment, LLC","Artix Entertainment, LLC",0.0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1
520,Pearl Abyss,Pearl Abyss,19.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
521,16bit Nights,Back To Basics Gaming,0.0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
522,"Jackbox Games, Inc.","Jackbox Games, Inc.",29.99,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0
523,Croteam,"Devolver Digital,Croteam",19.99,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1
524,"KAIKO,Vigil Games",THQ Nordic,24.99,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1
525,Dio Alias Games,Dio Alias Games,0.0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0
526,Volens Nolens Games,Volens Nolens Games,19.99,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1
527,Andrealphus Games,Andrealphus Games,24.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
528,Ironward,505 Games,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1
529,Blastoid Entertainment,Back To Basics Gaming,1.99,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1
530,Yin Games,Yin Games,13.99,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1
531,Bat Byte,Bat Byte,19.99,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1
532,Image & Form Games,Image & Form Games,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1
533,U.S. Army,U.S. Army,19.99,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
534,Fair Play Labs,GameMill Entertainment,1.99,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1
535,汉家松鼠Han-Squirrel Studio,XD,29.99,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1
536,Klei Entertainment,Klei Entertainment,59.99,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0
537,Kodera Software,"Kodera Software,Kurki.games",1.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0
538,"TT Fusion,Traveller's Tales",Warner Bros. Interactive Entertainment,0.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
539,xDNA,Nutaku Publishing,0.0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0
540,PixelCount Studios,PixelCount Studios,15.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
541,Bugbyte Ltd.,Bugbyte Ltd.,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
542,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",24.99,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1
543,Oni Gaming,Oni Gaming,29.99,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0
544,"Free Games Info,hyperboreanGames",Back To Basics Gaming,59.99,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
545,House House,Panic,14.99,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1
546,"IMCGAMES CO., LTD.","IMCGAMES CO., LTD.",0.0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1
547,Overgroup,Overgroup,5.99,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1
548,Wadup Games,Conglomerate 5,17.99,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0
549,Abrakam Entertainment SA,Versus Evil,19.99,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
550,Zoteling,Zoteling,4.99,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
551,WolfEye Studios,Devolver Digital,29.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
552,Coffee Stain Studios,Coffee Stain Publishing,0.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
553,YUZUSOFT,"HIKARI FIELD,NekoNyan Ltd.",9.99,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1
554,"Stardock Entertainment,Oxide Games",Stardock Entertainment,59.99,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1
555,"Hangar 13,D3T",2K,9.99,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0
556,Redstone Interactive,Offworld,19.99,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1
557,Northwood Studios,Northwood Studios,0.99,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0
558,Psyop,KFC,44.99,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
559,Mimimi Games,THQ Nordic,0.99,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0
560,IO Interactive A/S,IO Interactive A/S,19.99,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
561,E Bros,E Bros,0.99,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1
562,Telltale Games,Telltale Games,0.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
563,Mana Potion Studios,Mana Potion Studios,34.99,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
564,Racing Bros,ANPA.US,0.0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1
565,Scott Cawthon,Scott Cawthon,14.99,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0
566,The Knights of Unity,The Knights of Unity,34.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
567,SC Jogos,SC Jogos,1.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0
568,JoySpark Games,JoySpark Games,29.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
569,Studio 8,Friends Games Corp.,0.0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
570,AIDIS Inc.,AIDIS Inc.,0.0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1
571,FishSoft LLC,FishSoft LLC,14.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0
572,Bigpoint GmbH,Bigpoint GmbH,0.0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1
573,Daedalic Studio West,Daedalic Entertainment,29.99,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
574,Veewo Games,"Team17,Yooreka Studio (China)",29.99,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0
575,Flying Wild Hog,Devolver Digital,29.99,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
576,"Synapse Games,Chinzilla",Kongregate,49.99,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1
577,"Vicarious Visions,Iron Galaxy Studios",Activision,0.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1
578,Anisoptera Games,Indie Voyage,29.99,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0
579,Farlight Games,Farlight Games,19.99,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
580,Paul Marrable,Funbox Media Ltd,0.0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1
581,KAGAMI Ⅱ WORKs,NIJICO,29.99,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1
582,Konnichiwa Games,Konnichiwa Games,13.99,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
583,Michael Zahniser,Michael Zahniser,0.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1
584,"id Software,Avalanche Studios",Bethesda Softworks,39.99,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1
585,MINTROCKET,MINTROCKET,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
586,Pocketpair,Pocketpair,34.99,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1
587,Slormite Studios,"Slormite Studios,Abiding Bridge",4.99,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1
588,Studio II,THQ Nordic,24.99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
589,Divine Games,Kongregate,9.99,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1
590,PopCap,Electronic Arts,5.99,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1
591,ALPHAWING Inc.,PLAYISM,39.99,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1
592,Moon Moose,tinyBuild,14.99,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
593,"Eerie Guest,tinyBuild",tinyBuild,0.99,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
594,Game Smithing Limited,Game Smithing Limited,49.99,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1
595,Fishing Cactus,Plug In Digital,19.99,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
596,Old Games,Old Games,0.0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0
597,"Ubisoft Paris,Ubisoft Annecy,Ubisoft Bucharest,Ubisoft Montpellier,Ubisoft Milan,Reflections,Ubisoft Belgrade",Ubisoft,12.99,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0
598,Fury Software,Slitherine Ltd.,29.99,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1
599,Square Enix,Square Enix,0.0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0
600,"CREATIVE ASSEMBLY,Feral Interactive (Linux),Feral Interactive (Mac)","SEGA,Feral Interactive (Linux),Feral Interactive (Mac)",0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1
601,Rebellion,Rebellion,9.99,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0
602,Caramel-Mocha Studio,LoveStoryProject,0.99,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0
603,SandCastles Studio,Apogee Entertainment,14.99,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1
604,Two and a Half Studios,Two and a Half Studios,0.0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1
605,Pieces Interactive,Paradox Interactive,22.99,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1
606,Techland,Deep Silver,9.99,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1
607,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",39.99,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
608,"BadFly Interactive, a.s.","BadFly Interactive, a.s.",14.99,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1
609,Humble Hearts LLC,Xbox Game Studios,24.99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
610,Breadmen,Breadman,39.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1
611,stillalive studios,Aerosoft GmbH,25.99,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0
612,JIW-Games,JIW-Games,59.99,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0
613,"Ravn Studio,Rock Pocket Games,Invictus Games",Ravn Studio,29.99,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1
614,"Black Chicken Studios, inc.","Black Chicken Studios, inc.",16.99,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0
615,Butterscotch Shenanigans,Butterscotch Shenanigans,19.99,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
616,Kumi Souls Games,Playstack,14.99,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
617,Last Bastion Studios LLC,Last Bastion Studios LLC,0.0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0
618,Z Studio,ParasGames,11.99,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
619,Game River,Paradox Arc,19.99,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0
620,"Nihon Falcom,Engine Software BV,PH3 GmbH","NIS America, Inc.",14.99,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0
621,Dennaton Games,Devolver Digital,0.0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0
622,Benjamin Famiglietti,SA Industry,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
623,Rusty Lake,Rusty Lake,0.99,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1
624,Quiet River,Quiet River,29.99,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1
625,Meta Fork,DigiPen Institute of Technology,34.99,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1
626,Realmforge Studios,Kalypso Media,24.99,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0
627,"United Front Games,Feral Interactive (Mac)","Square Enix,Feral Interactive (Mac)",0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
628,Greenheart Games 💚,Greenheart Games 💚,0.99,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
629,Strange Loop Games,Strange Loop Games,19.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0
630,Square Enix,Square Enix,59.99,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1
631,MUMO STUDIO,MUMO STUDIO,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
632,"Monstars Inc.,Resonair,Stage Games",Enhance,0.0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1
633,LINE Games Corporation,LINE Games Corporation,14.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0
634,Illegal Turtle 🐢,Illegal Turtle 🐢,8.99,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1
635,5 Lives Studios,5 Lives Studios,14.99,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1
636,NeocoreGames,NeocoreGames,59.99,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1
637,Spearhead Games,Spearhead Games,14.99,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1
638,yfyx games,My Way Games,0.0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0
639,Telltale Games,Telltale Games,19.99,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0
640,DL Softworks,DL Softworks,12.99,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
641,"Monstars Inc.,Resonair,Stage Games",Enhance,2.99,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1
642,Frontier Developments,Frontier Developments,29.99,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0
643,Eidos-Montréal,Eidos Interactive Corp.,29.99,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1
644,Marvelous Inc.,"XSEED Games,Marvelous USA, Inc.,Marvelous",14.99,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1
645,Light Bringer Games inc.,Light Bringer Games inc.,12.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1
646,"Sledgehammer Games,Treyarch,High Moon Studios,Raven Software,Beenox,Demonware",Activision,4.99,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0
647,Forever Entertainment S. A.,Forever Entertainment S. A.,0.0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1
